symptoms,disease,food,rest_days,medications,nearby_hospitals
fever,night sweats,HIV/AIDS,lean protein;fruits;vegetables,0,antiretrovirals,City Hospital;General Clinic
headache,stiff neck,Meningitis,broth;hydration drinks;soft fruits,7,antibiotics;antivirals,City Hospital;General Clinic
painful urination,frequent urination,Urinary Tract Infection,cranberry juice;water;broth,2,antibiotics,City Hospital;General Clinic
sore throat,cough,Pneumonia,soup;hydration drinks;ginger tea,5,antibiotics;antivirals,City Hospital;General Clinic
fever,swollen glands,Mononucleosis,soup;herbal tea;hydration drinks,5,pain relievers;steroids,City Hospital;General Clinic
dry mouth,increased thirst,Hyperglycemia,whole grains;vegetables;fruits,0,insulin;oral hypoglycemics,City Hospital;General Clinic
fatigue,dry skin,Hypoglycemia,fruit juice;glucose tablets;honey,0,glucose tablets;glucagon,City Hospital;General Clinic
headache,fever,Typhoid,boiled potatoes;rice porridge;herbal tea,10,antibiotics,City Hospital;General Clinic
vomiting,diarrhea,Cholera,hydration drinks;rice;bananas,7,antibiotics;hydration solution,City Hospital;General Clinic
fever,cough,Whooping Cough,soup;hydration drinks;soft fruits,7,antibiotics,City Hospital;General Clinic
weight loss,night sweats,Leukemia,high protein foods;leafy greens;fruits,0,chemotherapy;targeted therapy,City Hospital;General Clinic
fatigue,joint pain,Lupus,fruits;vegetables;lean proteins,0,NSAIDs;antimalarials,City Hospital;General Clinic
abdominal pain,bloating,Irritable Bowel Syndrome,low FODMAP foods;rice;lean meat,0,antispasmodics;fiber supplements,City Hospital;General Clinic
painful urination,blood in urine,Kidney Stones,hydration drinks;low sodium foods;fruits,3,pain relievers;alpha blockers,City Hospital;General Clinic
joint pain,stiffness,Arthritis,fruits;vegetables;whole grains,0,NSAIDs;DMARDs,City Hospital;General Clinic
fever,weight loss,Tuberculosis,high protein foods;whole grains;leafy greens,10,antitubercular drugs;antibiotics,City Hospital;General Clinic
chest pain,shortness of breath,Coronary Artery Disease,whole grains;fruits;lean proteins,0,statins;beta blockers,City Hospital;General Clinic
fatigue,swollen glands,Lymphoma,high protein foods;leafy greens;berries,0,chemotherapy;radiation therapy,City Hospital;General Clinic
fever,abdominal pain,Appendicitis,broth;hydration drinks;plain rice,7,antibiotics;pain relievers,City Hospital;General Clinic
vomiting,diarrhea,Rotavirus,hydration drinks;plain rice;toast,3,oral rehydration solution;antipyretics,City Hospital;General Clinic
fatigue,weakness,Hemophilia,lean proteins;fruits;vegetables,0,clotting factor replacement;desmopressin,City Hospital;General Clinic
weight gain,fatigue,Cushing's Syndrome,whole grains;lean proteins;fruits,0,ketoconazole;mitotane,City Hospital;General Clinic
fever,headache,Rabies,hydration drinks;soft foods;herbal tea,14,rabies immunoglobulin;rabies vaccine,City Hospital;General Clinic
rash,itching,Measles,hydration drinks;soft foods;herbal tea,7,vitamin A supplements;antipyretics,City Hospital;General Clinic
fever,cough,Rubella,soup;hydration drinks;soft foods,5,antipyretics,City Hospital;General Clinic
headache,vomiting,Japanese Encephalitis,hydration drinks;soft foods;herbal tea,7,antivirals;pain relievers,City Hospital;General Clinic
fatigue,joint pain,Rheumatoid Arthritis,fruits;vegetables;lean proteins,0,DMARDs;biologics,City Hospital;General Clinic
